category,text
Billing,I have a question about my payment Can you look into this?
Technical,I cannot upload my document Please resolve this.
Billing,Why did my subscription renewal cost more? This is urgent.
General,Can you help me understand the service? This is urgent.
HR,How can I update my personal information? Can you look into this?
HR,Where can I find the employee handbook? Can you assist?
Billing,I need help with my monthly bill Can you assist?
General,I need support with my account
HR,How can I request time off? I need assistance.
HR,How can I request time off?
HR,I want to update my emergency contact Please help.
HR,Where can I download my HR documents? Can you assist?
General,I would like to know more about the product I need assistance.
HR,I need to contact the HR department
Billing,My invoice has the wrong billing address This is urgent.
General,Please provide more information Please resolve this.
General,Where can I find the user guide? I need assistance.
General,I would like more information about the platform
HR,I need a copy of my employment letter
Technical,My account page keeps freezing Please help.
Technical,The application crashes when I try to login This is urgent.
HR,I have a question about my salary slip Can you assist?
General,Where can I find more information? Please help.
Technical,I cannot access the dashboard
HR,I have a question regarding employee insurance I need assistance.
Technical,I am getting an error when opening the app This is urgent.
HR,What is the holiday policy? I need assistance.
Billing,I have a question about my payment
General,How can I contact customer support? Can you look into this?
Technical,I cannot reset my password This is urgent.
HR,Where can I download my HR documents? Can you look into this?
Technical,The website is not loading
Technical,The application crashes when I try to login
Technical,I cannot access the dashboard Please help.
General,Where can I find the documentation? This is urgent.
Billing,My invoice has the wrong billing address
General,Can you tell me more about your services?
General,Please provide more information
General,I have a general question Can you look into this?
General,Can someone help me? I need assistance.
Billing,There is an unexpected charge on my account I need assistance.
Technical,I am getting an error when opening the app
Billing,I need a copy of my invoice
Technical,I cannot reset my password Please help.
Billing,My invoice shows an incorrect amount Please help.
Technical,I cannot download my report Can you assist?
Billing,I was charged twice for my subscription
Technical,The application is extremely slow Please resolve this.
HR,How can I change my employee information? Can you look into this?
Technical,The login page is not working Can you assist?
HR,How many vacation days do employees receive?
HR,What is the holiday policy? Please resolve this.
Billing,How can I change my payment method? Can you look into this?
Technical,The software stopped working after the update
HR,I need help with my employee benefits
Technical,The page keeps timing out This is urgent.
Technical,The dashboard is showing an error Please help.
HR,How many vacation days do employees receive? I need assistance.
General,I would like more information about the platform I need assistance.
